,,,,,0,1,2
Extensive,0,10,3,5,7.2,7.2,0.009000062942504883
Peleg,0,10,3,5,19.135911111111103,0.0,0.0010344982147216797
Carr,0,10,3,5,7.200000000000004,0.0,0.03453183174133301
Extensive,1,10,3,10,7.399999999999999,7.399999999999999,0.02200007438659668
Peleg,1,10,3,10,11.595555555555553,0.0,0.0020503997802734375
Carr,1,10,3,10,7.39999999999999,0.0,0.1375408172607422
Extensive,2,10,3,20,7.900000000000001,7.900000000000001,0.009000062942504883
Peleg,2,10,3,20,21.250833333333343,0.0,0.005129098892211914
Carr,2,10,3,20,7.89999999999998,0.0,2.152208089828491
Extensive,3,10,3,40,7.95120555555556,7.95120555555556,0.01100015640258789
Peleg,3,10,3,40,17.83559444444445,0.0,0.013384819030761719
Carr,3,10,3,40,7.951205555555598,0.0,25.427159547805786
Extensive,4,10,3,5,3.4000000000000004,3.4,0.010999917984008789
Peleg,4,10,3,5,9.954222222222223,0.0,0.0
Carr,4,10,3,5,3.400000000000001,0.0,0.019238948822021484
Extensive,5,10,3,10,6.699999999999999,6.4,0.012000083923339844
Peleg,5,10,3,10,29.425777777777764,0.0,0.004090309143066406
Carr,5,10,3,10,6.5999999999999925,0.0,0.33339381217956543
Extensive,6,10,3,20,7.650000000000001,7.650000000000001,0.008999824523925781
Peleg,6,10,3,20,20.74486111111112,0.0,0.004189968109130859
Carr,6,10,3,20,7.649999999999981,0.0,2.5730512142181396
Extensive,7,10,3,40,8.55,8.55,0.010999917984008789
Peleg,7,10,3,40,13.0626888888889,0.0,0.009337663650512695
Carr,7,10,3,40,8.550000000000054,0.0,13.506920099258423
Extensive,8,10,3,5,6.199999999999999,6.199999999999999,0.008999824523925781
Peleg,8,10,3,5,17.53591111111111,0.0,0.001001119613647461
Carr,8,10,3,5,6.200000000000003,0.0,0.04696202278137207
Extensive,9,10,3,10,7.199999999999999,7.199999999999998,0.010999917984008789
Peleg,9,10,3,10,23.908444444444438,0.0,0.002053976058959961
Carr,9,10,3,10,7.19999999999999,0.0,0.21231889724731445
Extensive,10,10,3,20,7.950000000000001,7.950000000000001,0.008999824523925781
Peleg,10,10,3,20,20.74486111111112,0.0,0.004172801971435547
Carr,10,10,3,20,7.94999999999998,0.0,2.520207405090332
Extensive,11,10,3,40,7.925000000000004,7.925000000000004,0.010999917984008789
Peleg,11,10,3,40,20.8500611111111,0.0,0.01751255989074707
Carr,11,10,3,40,7.925000000000045,0.0,26.772273302078247
Extensive,12,10,3,5,8.600000000000001,8.6,0.014999866485595703
